18 6
1 AP_1 -47.28
2 AP_2 -69.41
3 AP_3 -39.31
4 AP_4 -47.40
5 AP_5 -54.17
6 AP_1 -47.64
7 AP_2 -59.25
8 AP_3 -31.19
9 AP_4 -47.36
10 AP_5 -52.97
11 AP_1 -47.53
12 AP_2 -63.20
13 AP_3 -30.11
14 AP_4 -46.93
15 AP_5 -54.50
16 AP_1 -47.74
17 AP_2 -65.07
18 AP_3 -39.07
19 AP_4 -47.43
20 AP_5 -54.64
21 AP_1 -47.31
22 AP_2 -62.45
23 AP_3 -39.13
24 AP_4 -47.07
25 AP_5 -54.72
26 AP_1 -47.98
27 AP_2 -56.80
28 AP_3 -29.86
29 AP_4 -45.95
30 AP_5 -54.19
31 AP_1 -47.35
32 AP_2 -41.77
33 AP_3 -37.29
34 AP_4 -47.58
35 AP_5 -53.42
36 AP_1 -47.33
37 AP_2 -59.51
38 AP_3 -42.00
39 AP_4 -47.40
40 AP_5 -54.85
41 AP_1 -47.98
42 AP_2 -63.48
43 AP_3 -46.75
44 AP_4 -47.07
45 AP_5 -53.28
46 AP_1 -48.27
47 AP_2 -54.18
48 AP_3 -33.93
49 AP_4 -47.31
50 AP_5 -52.92
51 AP_1 -47.73
52 AP_2 -57.20
53 AP_3 -43.13
54 AP_4 -47.28
55 AP_5 -54.18
56 AP_1 -47.38
57 AP_2 -57.61
58 AP_3 -41.74
59 AP_4 -47.39
60 AP_5 -54.81
61 AP_1 -47.22
62 AP_2 -58.45
63 AP_3 -37.02
64 AP_4 -47.53
65 AP_5 -52.97
66 AP_1 -47.72
67 AP_2 -60.56
68 AP_3 -40.50
69 AP_4 -47.98
70 AP_5 -54.22
71 AP_1 -47.05
72 AP_2 -64.03
73 AP_3 -32.50
74 AP_4 -47.52
75 AP_5 -54.38
76 AP_1 -47.52
77 AP_2 -62.46
78 AP_3 -43.30
79 AP_4 -46.71
80 AP_5 -53.96
81 AP_1 -47.99
82 AP_2 -53.70
83 AP_3 -43.29
84 AP_4 -47.48
85 AP_5 -55.02
86 AP_1 -47.64
87 AP_2 -55.61
88 AP_3 -35.60
89 AP_4 -47.61
90 AP_5 -54.48
91 AP_1 -47.45
92 AP_2 -66.57
93 AP_3 -35.90
94 AP_4 -47.51
95 AP_5 -54.91
96 AP_1 -47.96
97 AP_2 -57.07
98 AP_3 -29.77
99 AP_4 -47.32
100 AP_5 -52.82
101 AP_1 -47.88
102 AP_2 -52.25
103 AP_3 -40.61
104 AP_4 -47.24
105 AP_5 -53.71
106 AP_1 -47.95
107 AP_2 -60.90
108 AP_3 -46.37
109 AP_4 -47.53
110 AP_5 -53.54
111 AP_1 -47.42
112 AP_2 -62.00
113 AP_3 -34.38
114 AP_4 -47.47
