4 2
1 AP_1 -39.15
2 AP_2 -63.10
3 AP_3 -49.88
4 AP_1 -38.48
5 AP_2 -58.06
6 AP_3 -43.06
7 AP_1 -38.78
8 AP_2 -63.66
9 AP_3 -43.33
10 AP_1 -38.78
11 AP_2 -60.61
12 AP_3 -41.84
13 AP_1 -38.07
14 AP_2 -64.42
15 AP_3 -40.61
16 AP_1 -39.20
17 AP_2 -63.28
18 AP_3 -49.99
19 AP_1 -38.56
20 AP_2 -63.56
21 AP_3 -44.76
22 AP_1 -39.29
23 AP_2 -63.71
24 AP_3 -46.25
25 AP_1 -38.96
26 AP_2 -66.91
27 AP_3 -43.43
28 AP_1 -38.87
29 AP_2 -65.28
30 AP_3 -41.16
31 AP_1 -38.53
32 AP_2 -66.05
33 AP_3 -41.82
34 AP_1 -37.98
35 AP_2 -51.90
36 AP_3 -42.89
37 AP_1 -39.21
38 AP_2 -60.22
39 AP_3 -46.05
40 AP_1 -39.07
41 AP_2 -58.69
42 AP_3 -41.26
43 AP_1 -38.06
44 AP_2 -61.93
45 AP_3 -50.50
46 AP_1 -39.18
47 AP_2 -60.44
48 AP_3 -29.52
49 AP_1 -39.27
50 AP_2 -62.22
51 AP_3 -40.16
52 AP_1 -38.81
53 AP_2 -66.70
54 AP_3 -39.41
55 AP_1 -38.91
56 AP_2 -70.05
57 AP_3 -31.87
58 AP_1 -38.80
59 AP_2 -68.00
60 AP_3 -39.23
61 AP_1 -38.57
62 AP_2 -60.27
63 AP_3 -37.86
64 AP_1 -38.55
65 AP_2 -65.58
66 AP_3 -40.79
67 AP_1 -39.03
68 AP_2 -56.73
69 AP_3 -39.93
70 AP_1 -37.25
71 AP_2 -58.30
72 AP_3 -41.75
73 AP_1 -39.72
74 AP_2 -60.99
75 AP_3 -37.53
76 AP_1 -39.19
77 AP_2 -44.13
78 AP_3 -43.13
79 AP_1 -38.71
80 AP_2 -65.39
81 AP_3 -50.24
82 AP_1 -38.21
83 AP_2 -62.20
84 AP_3 -47.88
85 AP_1 -38.54
86 AP_2 -48.97
87 AP_3 -44.27
88 AP_1 -38.25
89 AP_2 -63.92
90 AP_3 -52.87
91 AP_1 -39.27
92 AP_2 -69.05
93 AP_3 -46.28
94 AP_1 -38.41
95 AP_2 -65.09
96 AP_3 -35.75
97 AP_1 -39.08
98 AP_2 -57.73
99 AP_3 -44.54
100 AP_1 -38.09
101 AP_2 -61.43
102 AP_3 -41.06
103 AP_1 -38.81
104 AP_2 -55.58
105 AP_3 -40.31
106 AP_1 -38.63
107 AP_2 -60.17
108 AP_3 -41.65
109 AP_1 -38.94
110 AP_2 -57.11
111 AP_3 -42.96
112 AP_1 -38.33
113 AP_2 -64.43
114 AP_3 -44.31
115 AP_1 -37.50
116 AP_2 -44.72
117 AP_3 -46.54
118 AP_1 -38.81
119 AP_2 -73.80
120 AP_3 -45.37
121 AP_1 -38.30
122 AP_2 -53.93
123 AP_3 -48.06
124 AP_1 -38.88
125 AP_2 -55.86
126 AP_3 -37.10
127 AP_1 -38.82
128 AP_2 -55.92
129 AP_3 -42.02
130 AP_1 -38.97
131 AP_2 -62.43
132 AP_3 -42.10
133 AP_1 -37.98
134 AP_2 -64.53
135 AP_3 -39.35
136 AP_1 -38.63
137 AP_2 -62.11
138 AP_3 -38.83
139 AP_1 -38.72
140 AP_2 -65.50
141 AP_3 -48.03
142 AP_1 -38.48
143 AP_2 -58.81
144 AP_3 -42.38
145 AP_1 -38.31
146 AP_2 -70.17
147 AP_3 -39.89
148 AP_1 -38.62
149 AP_2 -52.61
150 AP_3 -42.97
151 AP_1 -39.69
152 AP_2 -61.73
153 AP_3 -48.83
154 AP_1 -38.02
155 AP_2 -61.33
156 AP_3 -45.97
157 AP_1 -38.86
158 AP_2 -53.74
159 AP_3 -38.39
160 AP_1 -38.12
161 AP_2 -60.06
162 AP_3 -41.20
163 AP_1 -38.73
164 AP_2 -66.26
165 AP_3 -46.49
166 AP_1 -38.17
167 AP_2 -59.32
168 AP_3 -46.87
169 AP_1 -38.66
170 AP_2 -60.16
171 AP_3 -45.86
172 AP_1 -39.19
173 AP_2 -65.45
174 AP_3 -39.23
175 AP_1 -38.67
176 AP_2 -58.59
177 AP_3 -45.67
178 AP_1 -38.24
179 AP_2 -56.58
180 AP_3 -39.11
